,Unnamed: 0,title,date,stock
2401,931454.0,[[0.999979]],2015-05-14 15:39:00-04:00,NVDA
5661,186451.0,[[0.99998504]],2015-05-18 14:27:00-04:00,BRK
2400,931453.0,[[0.99966097]],2015-05-27 08:43:00-04:00,NVDA
2399,931452.0,[[0.94732374]],2015-05-27 10:10:00-04:00,NVDA
2398,931451.0,[[0.06267139]],2015-05-28 12:40:00-04:00,NVDA
2397,931450.0,[[0.26620248]],2015-06-04 12:14:00-04:00,NVDA
2396,931449.0,[[0.6296104]],2015-06-10 08:05:00-04:00,NVDA
2395,931448.0,[[0.6296104]],2015-06-10 08:46:00-04:00,NVDA
2394,931447.0,[[0.66455245]],2015-06-10 09:01:00-04:00,NVDA
2393,931446.0,[[0.00683394]],2015-06-11 08:32:00-04:00,NVDA
2392,931445.0,[[0.99995524]],2015-06-12 07:22:00-04:00,NVDA
2391,931444.0,[[0.8721905]],2015-06-12 10:02:00-04:00,NVDA
2390,931443.0,[[0.9998668]],2015-06-15 13:54:00-04:00,NVDA
2389,931442.0,[[0.99920005]],2015-06-17 09:06:00-04:00,NVDA
2388,931441.0,[[0.99999493]],2015-06-20 11:39:00-04:00,NVDA
5660,186450.0,[[0.9819743]],2015-06-23 12:13:00-04:00,BRK
2387,931440.0,[[0.9990054]],2015-06-29 11:27:00-04:00,NVDA
2386,931439.0,[[0.99984676]],2015-07-02 04:50:00-04:00,NVDA
2385,931438.0,[[0.99999964]],2015-07-02 09:00:00-04:00,NVDA
2384,931437.0,[[0.9999867]],2015-07-07 10:22:00-04:00,NVDA
5659,186449.0,[[0.9999987]],2015-07-14 08:10:00-04:00,BRK
2383,931435.0,[[0.96471566]],2015-07-17 14:28:00-04:00,NVDA
2382,931434.0,[[0.9999994]],2015-07-20 08:02:00-04:00,NVDA
6011,186801.0,[[0.99999195]],2015-07-21 11:33:00-04:00,BRK
2381,931433.0,[[0.98190665]],2015-07-29 17:54:00-04:00,NVDA
2380,931432.0,[[0.9950413]],2015-08-03 07:07:00-04:00,NVDA
2379,931431.0,[[0.9996656]],2015-08-03 07:31:00-04:00,NVDA
2378,931430.0,[[0.99960154]],2015-08-03 09:02:00-04:00,NVDA
2377,931429.0,[[0.98460877]],2015-08-03 09:08:00-04:00,NVDA
2376,931428.0,[[0.99893093]],2015-08-03 09:18:00-04:00,NVDA
2375,931427.0,[[0.99965394]],2015-08-06 04:15:00-04:00,NVDA
2374,931426.0,[[0.999874]],2015-08-06 05:02:00-04:00,NVDA
2372,931424.0,[[0.9999591]],2015-08-06 16:21:00-04:00,NVDA
2373,931425.0,[[0.99766284]],2015-08-06 16:21:00-04:00,NVDA
2371,931423.0,[[0.9953517]],2015-08-06 17:20:00-04:00,NVDA
2370,931422.0,[[0.9999282]],2015-08-06 17:23:00-04:00,NVDA
2369,931421.0,[[0.98816735]],2015-08-07 04:18:00-04:00,NVDA
6010,186800.0,[[0.99970984]],2015-08-07 04:42:00-04:00,BRK
2368,931420.0,[[0.99999946]],2015-08-07 06:15:00-04:00,NVDA
2367,931419.0,[[0.9999975]],2015-08-07 06:29:00-04:00,NVDA
2366,931418.0,[[0.99955475]],2015-08-07 07:16:00-04:00,NVDA
2365,931417.0,[[0.999779]],2015-08-07 07:17:00-04:00,NVDA
2364,931416.0,[[0.999986]],2015-08-07 07:18:00-04:00,NVDA
2363,931415.0,[[0.9999985]],2015-08-07 08:19:00-04:00,NVDA
2362,931414.0,[[0.9818324]],2015-08-07 08:22:00-04:00,NVDA
2361,931413.0,[[0.99893093]],2015-08-07 09:06:00-04:00,NVDA
2360,931412.0,[[0.9929373]],2015-08-07 09:46:00-04:00,NVDA
2359,931411.0,[[0.9851771]],2015-08-07 10:30:00-04:00,NVDA
6009,186799.0,[[0.9065931]],2015-08-07 17:02:00-04:00,BRK
5658,186448.0,[[0.9065931]],2015-08-07 17:02:00-04:00,BRK
2358,931410.0,[[0.9998175]],2015-08-09 17:10:00-04:00,NVDA
5657,186447.0,[[0.99964]],2015-08-10 07:16:00-04:00,BRK
6008,186798.0,[[0.99964]],2015-08-10 07:16:00-04:00,BRK
6007,186797.0,[[0.16857147]],2015-08-10 14:33:00-04:00,BRK
5656,186446.0,[[0.16857147]],2015-08-10 14:33:00-04:00,BRK
2357,931409.0,[[0.9998114]],2015-08-11 08:31:00-04:00,NVDA
2356,931408.0,[[0.9997462]],2015-08-11 11:09:00-04:00,NVDA
2355,931407.0,[[0.99999976]],2015-08-13 13:15:00-04:00,NVDA
2354,931406.0,[[0.9036715]],2015-08-21 15:14:00-04:00,NVDA
5655,186445.0,[[0.99962646]],2015-08-23 11:13:00-04:00,BRK
6006,186796.0,[[0.99962646]],2015-08-23 11:13:00-04:00,BRK
2353,931405.0,[[0.9999999]],2015-08-24 05:19:00-04:00,NVDA
2352,931404.0,[[0.99999976]],2015-08-26 14:27:00-04:00,NVDA
2351,931403.0,[[0.9429807]],2015-08-27 08:10:00-04:00,NVDA
2350,931402.0,[[0.011592]],2015-09-01 14:46:00-04:00,NVDA
2349,931401.0,[[0.99997544]],2015-09-17 05:53:00-04:00,NVDA
